;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
27;D2B2195AABFA02A4E0430A8394279460;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42592615622733,9.374563302228529;SG;3203;St. Gallen;2012;11;2012-11;November;Samstag;3;03h-04h
31;D409002B1E9101E6E0430A8394276E4D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42287963745394,9.374359702503272;SG;3203;St. Gallen;2012;12;2012-12;Dezember;Montag;9;09h-10h
44;99797FE6A1AB50A4E0430A865E3350A4;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42951721722561,9.388933322364045;SG;3203;St. Gallen;2011;1;2011-01;Januar;Montag;18;18h-19h
57;A543482339183054E0430A865E333054;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.43631418572117,9.399843494970881;SG;3203;St. Gallen;2011;5;2011-05;Mai;Donnerstag;10;10h-11h
60;A2349D031D05307CE0430A865E33307C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41315279210494,9.338113932516405;SG;3203;St. Gallen;2011;5;2011-05;Mai;Freitag;8;08h-09h
65;1A44E1B5067F0126E0530A839427D00D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42958870050694,9.388962458557737;SG;3203;St. Gallen;2015;6;2015-06;Juni;Donnerstag;15;15h-16h
68;AFBC29D5C8E80152E0430A8394270152;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.416084093646596,9.317302583666727;SG;3203;St. Gallen;2011;10;2011-10;Oktober;Dienstag;11;11h-12h
71;B1256E932AB301A2E0430A83942701A2;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41041888210749,9.33585610102444;SG;3203;St. Gallen;2011;10;2011-10;Oktober;Montag;7;07h-08h
74;3F4E4B4F505D014CE0530A83942738FC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Hauptstrasse;47.41606426038019,9.345971854317973;SG;3203;St. Gallen;2016;9;2016-09;September;Dienstag;18;18h-19h
82;1E89946F56C101F4E0530A839427122E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42792129720562,9.392335158429525;SG;3203;St. Gallen;2015;8;2015-08;August;Mittwoch;17;17h-18h
88;216C072B34BB01DEE0530A8394273821;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.40740713704911,9.296415344899348;SG;3203;St. Gallen;2015;9;2015-09;September;Mittwoch;15;15h-16h
93;1AE6D89AF1770248E0530A83942792A0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.40741288732098,9.304989878643687;SG;3203;St. Gallen;2015;7;2015-07;Juli;Mittwoch;8;08h-09h
97;1DA4131D7B2B012EE0530A8394272979;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.417152434005644,9.357410209444698;SG;3203;St. Gallen;2015;7;2015-07;Juli;Freitag;17;17h-18h
98;B7446CADAD05010EE0430A839427010E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41384018898776,9.338986726933536;SG;3203;St. Gallen;2012;1;2012-01;Januar;Donnerstag;7;07h-08h
101;1D9859B25A700198E0530A839427E6E0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42154282387377,9.370373980178545;SG;3203;St. Gallen;2015;7;2015-07;Juli;Donnerstag;20;20h-21h
103;229B18C25C4102E2E0530A8394274326;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42876052472019,9.384185705225537;SG;3203;St. Gallen;2015;10;2015-10;Oktober;Sonntag;1;01h-02h
107;4CCA7DFB6BCC016AE0530A8394277D59;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.418944275099285,9.353524646069161;SG;3203;St. Gallen;2017;1;2017-01;Januar;Dienstag;19;19h-20h
109;4CE0F847FC210172E0530A839427F3C9;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.40161726722468,9.301195727939817;SG;3203;St. Gallen;2017;2;2017-02;Februar;Dienstag;19;19h-20h
116;277E26838E1A00D4E0530A83942714B1;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43143591562345,9.381313547480953;SG;3203;St. Gallen;2015;11;2015-11;November;Donnerstag;7;07h-08h
117;4DAA7868043B0036E0530A839427D55D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.422114681354174,9.369533068313626;SG;3203;St. Gallen;2017;2;2017-02;Februar;Dienstag;6;06h-07h
125;292429875F5600CCE0530A8394274B74;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42140722537455,9.364483305494904;SG;3203;St. Gallen;2015;12;2015-12;Dezember;Donnerstag;7;07h-08h
135;D45D44E4E39401FCE0430A839427DA9F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.41514835165055,9.387916488925352;SG;3203;St. Gallen;2012;12;2012-12;Dezember;Freitag;8;08h-09h
136;243FFAEE16CC01BCE0530A8394275603;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.40636600922507,9.305191723799727;SG;3203;St. Gallen;2015;10;2015-10;Oktober;Samstag;16;16h-17h
158;294B8877281700FEE0530A839427F819;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43510280184856,9.402304943556052;SG;3203;St. Gallen;2015;12;2015-12;Dezember;Donnerstag;6;06h-07h
159;9BFE292748FF40DCE0430A865E3340DC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42492300040091,9.387677892856756;SG;3203;St. Gallen;2011;2;2011-02;Februar;Donnerstag;8;08h-09h
160;0D01E9FD4A9E01ECE0530A839427E7BE;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41800887526043,9.368111625470915;SG;3203;St. Gallen;2014;12;2014-12;Dezember;Dienstag;15;15h-16h
169;1424B67516CC0126E0530A8394273D91;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.416793809097975,9.36382597037653;SG;3203;St. Gallen;2015;3;2015-03;März;Samstag;18;18h-19h
170;4CE42EDC85A700F2E0530A839427BC28;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.426428774573665,9.37678232681328;SG;3203;St. Gallen;2017;3;2017-03;März;Donnerstag;15;15h-16h
173;51895D9E146D01C6E0530A8394278875;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4263609591468,9.375997666425043;SG;3203;St. Gallen;2017;4;2017-04;April;Montag;14;14h-15h
178;EF4A40350F8D02D2E0430A839427E2AD;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.422274394895176,9.371818968220703;SG;3203;St. Gallen;2013;12;2013-12;Dezember;Freitag;14;14h-15h
192;19A303246E4C021EE0530A8394273165;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42227630501436,9.377612105659951;SG;3203;St. Gallen;2015;6;2015-06;Juni;Mittwoch;17;17h-18h
203;A5D45D8ECA0550FEE0430A865E3350FE;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42647750839653,9.376558723887966;SG;3203;St. Gallen;2011;6;2011-06;Juni;Sonntag;13;13h-14h
207;CA722DBF3219016AE0430A839427871D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.44311798219755,9.394404999022406;SG;3203;St. Gallen;2012;8;2012-08;August;Freitag;15;15h-16h
210;CE0C093847D5014AE0430A83942709C8;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42951721722561,9.388933322364045;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Dienstag;6;06h-07h
216;D51ECDF71DB20206E0430A83942796D5;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43956334191283,9.391264138164495;SG;3203;St. Gallen;2012;12;2012-12;Dezember;Donnerstag;22;22h-23h
227;E9544864080900FCE0430A8394276CF9;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.427778084757385,9.384825943096153;SG;3203;St. Gallen;2013;9;2013-09;September;Freitag;18;18h-19h
240;E23BEAA68F7500AEE0430A839427ED71;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42585544155761,9.373950892590061;SG;3203;St. Gallen;2013;6;2013-06;Juni;Dienstag;11;11h-12h
242;E1229FF5710C00D8E0430A8394270E90;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.435940264418385,9.394300316565356;SG;3203;St. Gallen;2013;6;2013-06;Juni;Samstag;8;08h-09h
245;609B38858E26011CE0530A839427A8FC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41827810454999,9.36707420550605;SG;3203;St. Gallen;2017;11;2017-11;November;Dienstag;7;07h-08h
246;6201F3A34683022EE0530A8394271705;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42355976050406,9.376187357464541;SG;3203;St. Gallen;2017;12;2017-12;Dezember;Freitag;14;14h-15h
247;61F0A51B85D60154E0530A839427324B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42479045248656,9.373076973813443;SG;3203;St. Gallen;2017;12;2017-12;Dezember;Donnerstag;18;18h-19h
253;712EBDD552330152E0530A839427FF1A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.412827244415496,9.350216446068623;SG;3203;St. Gallen;2018;1;2018-01;Januar;Montag;16;16h-17h
257;B10520169BBB00FEE0430A83942700FE;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.409664311127564,9.334689442258338;SG;3203;St. Gallen;2011;11;2011-11;November;Mittwoch;10;10h-11h
264;708B92D17BA901CCE0530A8394271108;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42639035814523,9.380678629982743;SG;3203;St. Gallen;2018;2;2018-02;Februar;Dienstag;21;21h-22h
266;711A89A7105D016EE0530A839427CCA0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.425760632800845,9.373165263851295;SG;3203;St. Gallen;2018;2;2018-02;Februar;Montag;22;22h-23h
272;B3F61574C0D400B2E0430A83942700B2;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41994290188087,9.374584305773967;SG;3203;St. Gallen;2011;12;2011-12;Dezember;Montag;7;07h-08h
273;B3F60AA62B69013EE0430A839427013E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.431078695341505,9.394492910633097;SG;3203;St. Gallen;2011;12;2011-12;Dezember;Dienstag;13;13h-14h
286;9E21CAA08041E0ECE0430A865E33E0EC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43566043297345,9.403903449095363;SG;3203;St. Gallen;2011;3;2011-03;März;Freitag;6;06h-07h
288;9F71EA4B8757200CE0430A865E33200C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.436977883620735,9.390930582859907;SG;3203;St. Gallen;2011;3;2011-03;März;Sonntag;15;15h-16h
289;BBD03BB0D14E00D6E0430A83942700D6;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43035612338515,9.39890797100571;SG;3203;St. Gallen;2012;3;2012-03;März;Donnerstag;17;17h-18h
294;A0BA78321287E06EE0430A865E33E06E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42876052472019,9.384185705225537;SG;3203;St. Gallen;2011;4;2011-04;April;Freitag;7;07h-08h
296;A0C9BFD9BA61B04CE0430A865E33B04C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.420888356818764,9.370774424072016;SG;3203;St. Gallen;2011;4;2011-04;April;Montag;10;10h-11h
305;A246EA88468CB0D0E0430A865E33B0D0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.413613834028595,9.34780591948185;SG;3203;St. Gallen;2011;5;2011-05;Mai;Dienstag;8;08h-09h
313;50F5FBE41BA301F2E0530A8394274609;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41271277499675,9.351153367692767;SG;3203;St. Gallen;2017;5;2017-05;Mai;Donnerstag;17;17h-18h
327;EB2154F2494D0082E0430A839427021D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.433130605574,9.399235577675602;SG;3203;St. Gallen;2013;10;2013-10;Oktober;Montag;13;13h-14h
339;7B3C2ECC8272DFFFE05328B9D80A0899;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43829898363549,9.40164051956947;SG;3203;St. Gallen;2018;10;2018-10;Oktober;Montag;7;07h-08h
342;7C0D200F577154B9E05328B9D80AB77E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.430042222547534,9.379658406977812;SG;3203;St. Gallen;2018;10;2018-10;Oktober;Samstag;1;01h-02h
