;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
2;60A05570770C014AE0530A839427F128;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.421635044775286,9.373466039585319;SG;3203;St. Gallen;2017;10;2017-10;Oktober;Samstag;19;19h-20h
6;5FAABA2FF875008AE0530A8394278594;at4;Einbiegeunfall;Unfall mit Schwerverletzten;True;True;Nebenstrasse;47.436861326135705,9.392504264817518;SG;3203;St. Gallen;2017;10;2017-10;Oktober;Donnerstag;16;16h-17h
24;CF7A0C292167019CE0430A8394277430;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42724474392345,9.378018491046817;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Montag;16;16h-17h
26;D11C50F8169C00D8E0430A839427FE93;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.425898727841236,9.373514974079207;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Donnerstag;10;10h-11h
29;D378C044E7760138E0430A83942745B4;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42129585625769,9.364147872133767;SG;3203;St. Gallen;2012;11;2012-11;November;Mittwoch;19;19h-20h
85;429515F1CD7C0126E0530A839427BC56;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.40711391806884,9.33549979327429;SG;3203;St. Gallen;2016;11;2016-11;November;Dienstag;6;06h-07h
96;B3ECE6495A2E004CE0430A839427004C;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42801770202287,9.375381821607194;SG;3203;St. Gallen;2011;12;2011-12;Dezember;Sonntag;9;09h-10h
138;5707800A55B70174E0530A8394272471;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.41894405557165,9.353537893703708;SG;3203;St. Gallen;2017;7;2017-07;Juli;Donnerstag;9;09h-10h
164;0FD7B550433300CEE0530A839427EA48;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43379752952218,9.400228086468426;SG;3203;St. Gallen;2015;1;2015-01;Januar;Freitag;17;17h-18h
177;EFD5513DEF780196E0430A839427E958;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.407838212686386,9.327534232871502;SG;3203;St. Gallen;2013;11;2013-11;November;Montag;19;19h-20h
180;F02608F3563C0102E0430A8394271E37;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.42104117037563,9.373470965349776;SG;3203;St. Gallen;2013;12;2013-12;Dezember;Sonntag;15;15h-16h
198;9BFF47B17E42800AE0430A865E33800A;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;andere;47.41621268649977,9.345155373426877;SG;3203;St. Gallen;2011;2;2011-02;Februar;Mittwoch;11;11h-12h
