Geo Point;Geo Shape;Nummer;Strasse;Oertlichkeit;Art
47.4222872969,9.3649382121;"{""coordinates"": [9.364938212100602, 47.422287296949165, 46.4841927094385], ""type"": ""Point""}";;;;schwach befahren
47.437538071,9.41381154992;"{""coordinates"": [9.41381154991929, 47.43753807098039, 46.38899032399058], ""type"": ""Point""}";;;;schwach befahren
47.4254662953,9.3724608744;"{""coordinates"": [9.372460874404076, 47.425466295287244, 46.46736612636596], ""type"": ""Point""}";;Bahnhofstrasse;;schwach befahren
47.4057568235,9.31579965187;"{""coordinates"": [9.315799651871057, 47.40575682351107, 46.58271455205977], ""type"": ""Point""}";502;;Sonnmattstrasse / Kräzernstrasse;schwach befahren
47.4105187512,9.33603359031;"{""coordinates"": [9.336033590313123, 47.41051875123648, 46.54758423194289], ""type"": ""Point""}";;;;schwach befahren
47.4140558805,9.33950698153;"{""coordinates"": [9.339506981527427, 47.41405588053668, 46.53437261004001], ""type"": ""Point""}";511;Lerchenfeldstrasse;Lechenfeldstrasse / Zürcher Strasse;schwach befahren
47.4099544743,9.33444880606;"{""coordinates"": [9.33444880605805, 47.409954474327, 46.55084245093167], ""type"": ""Point""}";;;;schwach befahren
47.4278499988,9.37442687545;"{""coordinates"": [9.374426875447845, 47.42784999882561, 46.458866111934185], ""type"": ""Point""}";2;Müller-Friedberg-Strasse;Müller-Friedberg Strasse 1;schwach befahren
47.4378723898,9.40342978171;"{""coordinates"": [9.403429781706249, 47.4378723898164, 46.39979922771454], ""type"": ""Point""}";;Lindenstrasse;;schwach befahren
47.4095794165,9.31348827002;"{""coordinates"": [9.313488270020802, 47.40957941647984, 46.57520667091012], ""type"": ""Point""}";;;;schwach befahren
47.4409117298,9.39363779876;"{""coordinates"": [9.393637798757918, 47.440911729751896, 46.402779798954725], ""type"": ""Point""}";525;;Kolumbanstr. / Heiligkreuzstr.;schwach befahren
47.4273776186,9.37449250216;"{""coordinates"": [9.37449250216356, 47.427377618560485, 46.46004004962742], ""type"": ""Point""}";;Unterer Graben;;schwach befahren
47.4216820399,9.37208831129;"{""coordinates"": [9.37208831128524, 47.42168203987441, 46.47777480725199], ""type"": ""Point""}";105;Kornhausstrasse;Kornhausstrasse 28;schwach befahren
47.4165820743,9.34811246606;"{""coordinates"": [9.348112466058492, 47.41658207429298, 46.51808730699122], ""type"": ""Point""}";28;Schönaustrasse;Schönaustrasse / Zürcher Strasse;schwach befahren
47.4373432238,9.40416199732;"{""coordinates"": [9.404161997315232, 47.437343223754056, 46.40037348493934], ""type"": ""Point""}";;Lukasstrasse;;schwach befahren
47.4382884314,9.40200360866;"{""coordinates"": [9.40200360865808, 47.43828843140468, 46.40030475240201], ""type"": ""Point""}";;Lukasstrasse;;schwach befahren
47.4246363563,9.38655751305;"{""coordinates"": [9.386557513045906, 47.42463635629261, 46.45373385772109], ""type"": ""Point""}";117;Wildeggstrasse;Wildeggstrasse 44;schwach befahren
47.4240774089,9.38488815213;"{""coordinates"": [9.384888152128074, 47.4240774089436, 46.45708479732275], ""type"": ""Point""}";116;Wildeggstrasse;Wildeggstrasse 35;schwach befahren
47.4337426425,9.37840005955;"{""coordinates"": [9.378400059553536, 47.433742642539634, 46.438841816969216], ""type"": ""Point""}";8;Tannenstrasse;Tannenstrasse 12;schwach befahren
47.4216179003,9.36853092926;"{""coordinates"": [9.368530929261258, 47.42161790032797, 46.481933049857616], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4386788106,9.41805129251;"{""coordinates"": [9.418051292506533, 47.43867881061205, 46.38119666650891], ""type"": ""Point""}";;Martinsbruggstrasse;;schwach befahren
47.4182489103,9.36722970763;"{""coordinates"": [9.367229707625977, 47.41824891028956, 46.49228369817138], ""type"": ""Point""}";;Oberstrasse;;schwach befahren
47.4200856732,9.36636805223;"{""coordinates"": [9.36636805222895, 47.42008567318995, 46.48840192798525], ""type"": ""Point""}";;Geltenwilenstrasse;;schwach befahren
47.4182797421,9.36703619529;"{""coordinates"": [9.367036195285968, 47.41827974213458, 46.49241925124079], ""type"": ""Point""}";;Geltenwilenstrasse;;schwach befahren
47.4193131528,9.36616893881;"{""coordinates"": [9.36616893880571, 47.41931315282725, 46.49066403321922], ""type"": ""Point""}";;;;schwach befahren
47.4351573773,9.39601943132;"{""coordinates"": [9.39601943132057, 47.43515737732992, 46.4153106668964], ""type"": ""Point""}";71;A1 Südliche Fahrbahn;Buchentalstrasse / Harzbüchelgalerie;schwach befahren
47.4352772391,9.41747482365;"{""coordinates"": [9.41747482365195, 47.435277239130535, 46.390834419988096], ""type"": ""Point""}";;Tablatstrasse;;schwach befahren
47.4410815989,9.39383571104;"{""coordinates"": [9.393835711042328, 47.44108159891866, 46.402108239009976], ""type"": ""Point""}";;Kolumbanstrasse;;schwach befahren
47.4424751095,9.41319303218;"{""coordinates"": [9.41319303218337, 47.44247510949576, 46.37663854006678], ""type"": ""Point""}";;Zilstrasse;;schwach befahren
47.4368024871,9.40536653705;"{""coordinates"": [9.405366537046419, 47.436802487066, 46.40044642239809], ""type"": ""Point""}";;Martinsbruggstrasse;;schwach befahren
47.4363645572,9.41309672427;"{""coordinates"": [9.413096724267831, 47.436364557242584, 46.392896686680615], ""type"": ""Point""}";86;Martinsbruggstrasse;Martinsbruggstrasse 53;schwach befahren
47.4095532721,9.33675681157;"{""coordinates"": [9.336756811571592, 47.409553272131895, 46.549323147162795], ""type"": ""Point""}";27;Haggenstrasse;Haggenstrasse / Moosstrasse;schwach befahren
47.406687321,9.33636106365;"{""coordinates"": [9.336361063651314, 47.40668732095353, 46.557323498651385], ""type"": ""Point""}";24;Haggenstrasse;Haggenstrasse 48;schwach befahren
47.4103769122,9.336186717;"{""coordinates"": [9.336186716999011, 47.41037691217892, 46.54778735898435], ""type"": ""Point""}";;Haggenstrasse;;schwach befahren
47.4246390296,9.36853773508;"{""coordinates"": [9.368537735083848, 47.42463902959283, 46.47394939046353], ""type"": ""Point""}";38;Winkelriedstrasse;Winkelriedstrasse / Schlösslitreppe;schwach befahren
47.4236096976,9.36739772375;"{""coordinates"": [9.367397723749733, 47.42360969757003, 46.47794504277408], ""type"": ""Point""}";36;Winkelriedstrasse;Winkelriedstrasse 1;schwach befahren
47.4067006593,9.33661870875;"{""coordinates"": [9.336618708754404, 47.406700659259585, 46.557000543922186], ""type"": ""Point""}";23;Hechtackerstrasse;Hechtackerstrasse / Haggenstrasse;schwach befahren
47.4081780371,9.33941909985;"{""coordinates"": [9.339419099853696, 47.408178037144474, 46.54997605457902], ""type"": ""Point""}";;Hechtackerstrasse;;schwach befahren
47.4072874987,9.33773328195;"{""coordinates"": [9.33773328194786, 47.40728749871943, 46.55420799739659], ""type"": ""Point""}";;Hechtackerstrasse;;schwach befahren
47.4268047276,9.37351708656;"{""coordinates"": [9.373517086558888, 47.42680472763975, 46.46264711674303], ""type"": ""Point""}";;Müller-Friedberg-Strasse;;schwach befahren
47.427379404,9.37393034044;"{""coordinates"": [9.373930340439662, 47.42737940404628, 46.460665927268565], ""type"": ""Point""}";1;Müller-Friedberg-Strasse;Müller-Friedberg Strasse / Tigerbergstrasse;schwach befahren
47.4100924224,9.33436076639;"{""coordinates"": [9.334360766390347, 47.41009242241513, 46.55057688150555], ""type"": ""Point""}";505;;Friedhofstrasse / Fürstenlandstrasse;schwach befahren
47.4207710528,9.37237989607;"{""coordinates"": [9.372379896073062, 47.42077105281178, 46.47985237650573], ""type"": ""Point""}";100;Schochengasse;Schochengasse 5;schwach befahren
47.4297463342,9.37411678872;"{""coordinates"": [9.374116788723622, 47.42974633424975, 46.454205193556845], ""type"": ""Point""}";47;Dufourstrasse;Dufourstrasse 61;schwach befahren
47.4326631828,9.37819433256;"{""coordinates"": [9.378194332556067, 47.43266318284666, 46.44192483648658], ""type"": ""Point""}";;;;schwach befahren
47.4259435172,9.37424030229;"{""coordinates"": [9.374240302292538, 47.42594351717238, 46.46411010064185], ""type"": ""Point""}";;Marktplatz;;schwach befahren
47.4259313339,9.3738410508;"{""coordinates"": [9.373841050799657, 47.42593133394271, 46.46459012851119], ""type"": ""Point""}";;Bahnhofstrasse;;schwach befahren
47.4103321709,9.36692929421;"{""coordinates"": [9.366929294209097, 47.41033217088028, 46.513505338691175], ""type"": ""Point""}";;Teufener Strasse;;schwach befahren
47.4214594372,9.35687876114;"{""coordinates"": [9.35687876114194, 47.421459437204035, 46.49540490657091], ""type"": ""Point""}";;Feldlistrasse;;schwach befahren
47.424238743,9.3719385683;"{""coordinates"": [9.371938568300315, 47.424238743031765, 46.471193126402795], ""type"": ""Point""}";;Schützengasse;;schwach befahren
47.4243727411,9.37184261623;"{""coordinates"": [9.371842616231158, 47.42437274106937, 46.47094694431871], ""type"": ""Point""}";;Schützengasse;;schwach befahren
47.4249807992,9.37422415641;"{""coordinates"": [9.374224156406909, 47.42498079916529, 46.46667026914656], ""type"": ""Point""}";;Oberer Graben;;schwach befahren
47.4061598964,9.30488338976;"{""coordinates"": [9.304883389760018, 47.40615989635677, 46.59380554128438], ""type"": ""Point""}";21;Herisauer Strasse;Herisauer Strasse / Westcenter;schwach befahren
47.4144148145,9.31150830758;"{""coordinates"": [9.311508307581573, 47.41441481447449, 46.564652354456484], ""type"": ""Point""}";;;;schwach befahren
47.4218100968,9.36442375897;"{""coordinates"": [9.364423758968426, 47.42181009682626, 46.486028933897614], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4214135887,9.36450448053;"{""coordinates"": [9.364504480530195, 47.42141358872219, 46.48698519449681], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4292544676,9.37893014356;"{""coordinates"": [9.378930143559419, 47.429254467643595, 46.45010382030159], ""type"": ""Point""}";;Sonnenstrasse;;schwach befahren
47.4332054481,9.39066696949;"{""coordinates"": [9.390666969491292, 47.433205448115835, 46.42648520786315], ""type"": ""Point""}";;A1 Anschluss St.Fiden;;schwach befahren
47.4324565342,9.39119509922;"{""coordinates"": [9.391195099224438, 47.43245653422659, 46.42787015810609], ""type"": ""Point""}";;Splügenstrasse;;schwach befahren
47.4348810822,9.38933318032;"{""coordinates"": [9.389333180323153, 47.43488108220413, 46.42355677764863], ""type"": ""Point""}";;Splügenstrasse;;schwach befahren
47.4076201739,9.30341128262;"{""coordinates"": [9.303411282623085, 47.40762017385163, 46.59159153327346], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4395584373,9.38480066592;"{""coordinates"": [9.384800665921748, 47.43955843733842, 46.4162860494107], ""type"": ""Point""}";54;Sonnenhaldenstrasse;Sonnenhaldenstrasse 53;schwach befahren
47.4339832047,9.37477118546;"{""coordinates"": [9.374771185460293, 47.43398320466324, 46.4422774463892], ""type"": ""Point""}";51;Guisanstrasse;Guisanstrasse 33;schwach befahren
47.421637253,9.37347010339;"{""coordinates"": [9.373470103393995, 47.42163725304455, 46.47634314186871], ""type"": ""Point""}";108;Gartenstrasse;Gartenstrasse 4;schwach befahren
47.4275836828,9.3840470826;"{""coordinates"": [9.384047082602335, 47.42758368278496, 46.44877160247415], ""type"": ""Point""}";;Steinachstrasse;;schwach befahren
47.4402488462,9.39201003582;"{""coordinates"": [9.39201003581687, 47.440248846192475, 46.406361820176244], ""type"": ""Point""}";;Langgasse;;schwach befahren
47.4395969463,9.39124223782;"{""coordinates"": [9.39124223782476, 47.439596946283984, 46.40894800052047], ""type"": ""Point""}";;Langgasse;;schwach befahren
47.435394741,9.38609302963;"{""coordinates"": [9.386093029630496, 47.43539474100239, 46.42583950422704], ""type"": ""Point""}";;Langgasse;;schwach befahren
47.4369023343,9.38794589423;"{""coordinates"": [9.387945894230041, 47.43690233428677, 46.4197740489617], ""type"": ""Point""}";;Langgasse;;schwach befahren
47.4225518954,9.35273770079;"{""coordinates"": [9.352737700789598, 47.42255189544509, 46.497155241668224], ""type"": ""Point""}";;St.Josefen-Strasse;;schwach befahren
47.4223540834,9.3498800434;"{""coordinates"": [9.349880043397176, 47.422354083433234, 46.50087432656437], ""type"": ""Point""}";;St.Josefen-Strasse;;schwach befahren
47.4208949021,9.34486629145;"{""coordinates"": [9.344866291447595, 47.42089490209092, 46.510332982987165], ""type"": ""Point""}";;St.Josefen-Strasse;;schwach befahren
47.4245014029,9.37971618485;"{""coordinates"": [9.379716184848803, 47.42450140287074, 46.461773061193526], ""type"": ""Point""}";;Linsebühlstrasse;;schwach befahren
47.4223734967,9.36925284997;"{""coordinates"": [9.369252849967053, 47.42237349673153, 46.47912906575948], ""type"": ""Point""}";;Bahnhofplatz;;schwach befahren
47.4295476089,9.3889290466;"{""coordinates"": [9.388929046599817, 47.42954760892519, 46.43810059688985], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4303878465,9.39113077019;"{""coordinates"": [9.39113077018579, 47.43038784648503, 46.4334069499746], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4305941016,9.39198872329;"{""coordinates"": [9.391988723291332, 47.43059410164482, 46.43189778458327], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4357881402,9.4034652041;"{""coordinates"": [9.40346520409772, 47.4357881401875, 46.40526701975614], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4394731395,9.40934058461;"{""coordinates"": [9.409340584605966, 47.43947313945775, 46.38891358952969], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4310908287,9.3944919583;"{""coordinates"": [9.394491958297523, 47.4310908286532, 46.42777144629508], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4231999872,9.37264101869;"{""coordinates"": [9.372641018693164, 47.42319998716371, 46.473147762939334], ""type"": ""Point""}";;;;schwach befahren
47.4037504323,9.33904518567;"{""coordinates"": [9.339045185668887, 47.403750432346186, 46.56206822954118], ""type"": ""Point""}";;Haggenstrasse;;schwach befahren
47.4342998191,9.39774290096;"{""coordinates"": [9.39774290095896, 47.43429981907895, 46.41563811339438], ""type"": ""Point""}";73;Buchentalstrasse;Buchentalstrasse 9;schwach befahren
47.4349237031,9.37837875134;"{""coordinates"": [9.3783787513443, 47.43492370311763, 46.435744809918106], ""type"": ""Point""}";9;;Tannenstrasse 25;schwach befahren
47.4249478125,9.38684478651;"{""coordinates"": [9.386844786509164, 47.4249478125012, 46.452588833868504], ""type"": ""Point""}";;Molkenstrasse;;schwach befahren
47.4310987013,9.39710796998;"{""coordinates"": [9.397107969983507, 47.43109870125521, 46.424808636307716], ""type"": ""Point""}";531;;Falkensteinstrasse 58;schwach befahren
47.4327233016,9.39107438408;"{""coordinates"": [9.391074384078415, 47.43272330162719, 46.427301090210676], ""type"": ""Point""}";;Splügenstrasse;;schwach befahren
47.4273651266,9.37465120668;"{""coordinates"": [9.374651206679728, 47.42736512662369, 46.45989500917494], ""type"": ""Point""}";;;;schwach befahren
47.4198421934,9.35549870343;"{""coordinates"": [9.355498703425715, 47.419842193448986, 46.501218881458044], ""type"": ""Point""}";;Vonwilstrasse;;schwach befahren
47.4043040644,9.30290168242;"{""coordinates"": [9.302901682423238, 47.40430406442223, 46.60090461373329], ""type"": ""Point""}";;Biderstrasse;;schwach befahren
47.4208937176,9.37330630415;"{""coordinates"": [9.373306304154449, 47.420893717615705, 46.47848947905004], ""type"": ""Point""}";;;;schwach befahren
47.4368388811,9.38389663037;"{""coordinates"": [9.383896630365804, 47.436838881118575, 46.424489620141685], ""type"": ""Point""}";;;;schwach befahren
47.4360376449,9.3748831174;"{""coordinates"": [9.374883117399916, 47.436037644906925, 46.43672261945903], ""type"": ""Point""}";186;;"Waldguetstr. 7; T30-31a";schwach befahren
47.406151977,9.34142236921;"{""coordinates"": [9.341422369210338, 47.40615197696731, 46.55308006890118], ""type"": ""Point""}";;;;schwach befahren
47.4034159399,9.30181545048;"{""coordinates"": [9.301815450479141, 47.40341593989698, 46.604454865679145], ""type"": ""Point""}";199;;Letzistr. 2 /T30-58;schwach befahren
47.4160759387,9.3546332898;"{""coordinates"": [9.354633289796052, 47.416075938742786, 46.51212732028216], ""type"": ""Point""}";;;;schwach befahren
47.4170104799,9.35925629068;"{""coordinates"": [9.359256290676669, 47.41701047988133, 46.504485429264605], ""type"": ""Point""}";523;;Ilgenstrasse 34;schwach befahren
