strassenna,strassenkl,strassennr,Anzahl Unfälle
Greifentreppe,W1,"762","0"
Guggeienstrasse,G3,"764","0"
Hintere Davidstrasse,G3,"556","0"
Wiesenweidstrasse,G3,"576","0"
Dohlengässlein,W1,"734","0"
Schokoladenweg,G3,"423","0"
Seelenhofweg,W2,"864","0"
Seelenhofweg,W2,"864","0"
Ankerstrasse,G3,"16","0"
Hochwachtstrasse,G3,"213","0"
Wiboradatreppe,W1,"902","0"
Straussenhausweg,W2,"882","0"
Bauhofstrasse,G2,"30","0"
Höchster Strasse,G2,"215","0"
Tambourenweg,W2,"884","0"
Untere Büschenstrasse,G2,"889","0"
Bänkliweg,W1,"710","0"
Bergtreppe,W1,"712","0"
Kleinbergstrasse,G2,"252","0"
Steigerstrasse,G2,"469","0"
Hirschengässlein,G2,"779","0"
Egghöhenweg,W2,"738","0"
Löwengasse,G2,"293","0"
Nordstrasse,G2,"337","0"
Mittlerer Hompeliweg,W2,"314","0"
Mövenweg,G3,"316","0"
Mövenweg,W2,"316","0"
Zilweg,W2,"546","0"
Flüelistrasse,G3,"120","0"
Rehburgstrasse,G2,"563","0"
Storchenweg,W2,"937","0"
Neugasse-Durchbruch,G2,"816","0"
Alte Konstanzer Strasse,W2,"620","0"
Quellenstrasse,G3,"588","0"
Quellenstrasse,G3,"588","0"
Buchenweg,W1,"725","0"
Guggerstrasse,G2,"622","0"
Sägegässlein,G3,"399","0"
Hagenbuchstrasse,G3,"180","0"
Hagenbuchstrasse,G2,"180","0"
Schmidweidliweg,W1,"415","0"
Schulstrasse,G2,"432","0"
Schirmerweg,W2,"857","0"
Sonnenbergweg,W1,"870","0"
Schützengasse,G2,"431","0"
Ebenalpstrasse,G3,"645","0"
Auf dem Damm,G2,"20","0"
Hiltystrasse,G2,"1010","0"
Hiltystrasse,G3,"1010","0"
Hubertusstrasse,G2,"223","0"
Segantinistrasse,G3,"438","0"
Fluhweg,W1,"912","0"
Greithweg,W2,"684","0"
Bitzistrasse,G3,"46","0"
Turmgasse,G2,"498","0"
Walkeweg,W2,"897","0"
Brückengasse,G2,"60","0"
Brühlbleichestrasse,G2,"61","0"
Brunnenbergstrasse,G2,"67","0"
Lenaustrasse,G2,"280","0"
Federerweg,W1,"742","0"
Dierauerstrasse,G2,"85","0"
Unterer Fidesweg,W1,"911","0"
Lettenstrasse,G2,"285","0"
Turnerstrasse,G2,"499","0"
Mattenweg,G3,"305","0"
Waldmannstrasse,G2,"519","0"
Fichtetreppe,W1,"744","0"
Dürrenmattstrasse,G2,"1049","0"
Bruggwiesenweg,G3,"66","0"
Koblerstrasse,G2,"950","0"
Brunnenbergsteig,W1,"723","0"
Herbrigweg,W2,"689","0"
Katharinengasse,G2,"247","0"
Brugghalden,G2,"63","0"
Adlerbergtreppe,W1,"701","0"
Gutenbergstrasse,W1,"917","0"
Güterbahnhofstrasse,G2,"916","0"
Ilgenstrasse,G2,"227","0"
Freudenbergweg,W2,"913","0"
Friedhofstrasse,G2,"127","2"
Speicherweg,W1,"873","0"
Schlösslistrasse,G2,"413","0"
Feuergasse,G3,"609","0"
Redingstrasse,G2,"374","0"
Resedaweg,W1,"832","0"
Gessnerstrasse,G2,"144","0"
Knottergässlein,W1,"795","0"
Knottergässlein,G3,"795","0"
Friedaustrasse,W1,"125","0"
Hechtgasse,G2,"562","0"
Falkensteinstrasse,G2,"107","0"
Falkensteinstrasse,G2,"107","0"
Gerenweg,W1,"759","0"
Oberer Kirchliweg,G3,"348","0"
Wolfgangweg,G2,"541","0"
Fuchsenweg,W1,"755","0"
Engelaustrasse,G2,"95","0"
Lehnstrasse,G1,"278","0"
Lehnstrasse,G2,"278","0"
Unterer Hompeliweg,W1,"506","0"
Drosselweg,W1,"737","0"
Vadianstrasse,G2,"509","1"
Dreilindengässlein,W1,"735","0"
Birtweg,W1,"717","0"
Birtweg,W1,"717","0"
Innerer Sonnenweg,G3,"233","0"
Hätterensteg,W2,"920","0"
Rechensteg,W2,"927","0"
Obere Wassergasse,G3,"926","0"
Blumenstrasse,G3,"51","0"
Heiligkreuzstrasse,G2,"197","0"
