vorname;adresse;iv_grad;oeffnungsz;informatio;bezeichnun;iv_info;telefon;name;land;kategorie;adresszusa;firma;ort;zusatz;mobile;plz;geometry
;Alpsteinstrasse 7;unbekannt;;;Kindergarten Alpsteinstrasse 7 I;;+41714992097;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.334666884378457 47.410675441626175)
;Goethestrasse 15;unbekannt;;Doppelkindergarten;Kindergarten Goethestrasse;;+41714992214;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.379621860961253 47.433047050416505)
;Guggerstrasse 8;unbekannt;;;Kindergarten Guggerstrasse;;+41714992238;;Schweiz;Kindergärten;;;St.Gallen;;;9012;POINT (9.362897698635045 47.40925754716589)
;Herisauer Strasse 88a;unbekannt;;;Kindergarten Herisauer Strasse 88a;;+41714992177;;Schweiz;Kindergärten;;;St.Gallen;;;9015;POINT (9.300475715903563 47.40166031731929)
;Hinterberg 61;unbekannt;;;Kindergarten Hinterberg I;;+41714992016;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.326547752923837 47.40342469091043)
;Koblerstrasse 19;unbekannt;;;Kindergarten Koblerstrasse;;+41714992175;;Schweiz;Kindergärten;;;St.Gallen;;;9015;POINT (9.314875299594604 47.40351462153536)
;Dietlistrasse 41;unbekannt;;;Kindergarten Dietlistrasse;;+41714992246;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.363243561765955 47.42639455089094)
;Hebelstrasse 8;unbekannt;;;Kindergarten Hebelstrasse;;+41714992198;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.381841494945679 47.418336212735895)
;Isenringweg 7;unbekannt;;;Kindergarten Isenringweg;;+41714992247;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.352014151160486 47.42055731042134)
;Konkordiastrasse 18;unbekannt;;;Kindergarten Konkordiastrasse;;+41714992254;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.384171839744278 47.42568827631028)
;Rorschacher Strasse 107;unbekannt;;;Kindergarten Rorschacher Strasse;;+41714992191;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.390863782194035 47.43048469118142)
;Waldgutstrasse 6a;unbekannt;;;Kindergarten Waldgutstrasse 6a I;;+41714992217;;Schweiz;Kindergärten;;;St.Gallen;;;9010;POINT (9.375405256719766 47.43650020488017)
;Wolfganghof 15;unbekannt;;;Kindergarten Wolfganghof 15;;+41714992019;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.335499495751625 47.40210777618374)
;Florastrasse 5;unbekannt;;;Kindergarten Florastrasse;;+41714992268;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.383863911553718 47.426683645345236)
;Lilienstrasse 24;;;;Kindergarten Lilienstrasse 24;;+41714992248;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.35228053447099 47.42148814270736)
;Zwyssigstrasse 16;;;;Kindergarten Zwyssigstrasse 16;;+41714992143;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.346675527612451 47.42200899857032)
;Falkensteinstrasse 73;;;;Kindergarten Falkensteinstr. 73;;+41714992915;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.398700273528696 47.43188745813447)
;Burgstrasse 102;;;;Kindergarten Burgstrasse 102;;+41714992297;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.353404473471313 47.416699771385794)
;Alpsteinstrasse 7;unbekannt;;;Kindergarten Alpsteinstrasse 7II;;+41714992648;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.33479292965381 47.41074421728741)
;Rehetobelstrasse 87a;;;;Kindergarten Rehetobelstrasse 87a;;;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.413687711528945 47.43451370349274)
;Achslenweg 10;unbekannt;;;Kindergarten Achslenweg 10a I/II;;+41714992168;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.410285354800507 47.43498939999598)
;Heiligkreuzstrasse 47;unbekannt;;;Kindergarten Heiligkreuzstrasse I;;+41714992076;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.394052112158677 47.440060696362366)
