Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.422076356118396,9.373390386479564;"{""coordinates"": [9.373390386479564, 47.422076356118396], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;GBS Baukaderschule;;;;;;Schreinerstrasse 5;St.Gallen;Schweiz;;Test;;+41712265740;;;9000
47.425185839913944,9.379977216429875;"{""coordinates"": [9.379977216429875, 47.425185839913944], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Kantonschule am Burggraben;;;;;;Burggraben 21;St.Gallen;Schweiz;;;;+41712281414;;;9000
47.420819625373575,9.375921174077533;"{""coordinates"": [9.375921174077533, 47.420819625373575], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Sonderschule für Kinder mit Wahrnehmungsstörungen;;;;;;Felsenstrasse 33;St.Gallen;Schweiz;;;;+41712226642;;;9000
47.430521241683806,9.393756831601868;"{""coordinates"": [9.393756831601868, 47.430521241683806], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Kosmetik-Fachschule Cornelia Wagner;;;;;;Falkensteinstrasse 27;St.Gallen;Schweiz;;;;+41712446173;;;9000
47.43163374138979,9.374384603730624;"{""coordinates"": [9.374384603730624, 47.43163374138979], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Universität St.Gallen HSG;;;;;;Dufourstrasse 50;St.Gallen;Schweiz;;;;+41712242111;;;9000
47.420523884653896,9.358332489734533;"{""coordinates"": [9.358332489734533, 47.420523884653896], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Akademie St.Gallen;;Kaufmännisches Berufs- und Weiterbildungszentrum;;;;Kreuzbleicheweg 4;St.Gallen;Schweiz;;;;+41712743630;;;9000
47.423306372072055,9.353871978358447;"{""coordinates"": [9.353871978358447, 47.423306372072055], ""type"": ""Point""}";bedingt behindertengerecht;Friedhöfe;Friedhof Feldli;;;;;;Feldlistrasse 18;St.Gallen;Schweiz;;;Urnenhalle aufgrund einer Treppe nicht zugänglich, Rollstuhl-WC vorhanden;+41712244516;;;9000
47.43503040898463,9.403110519841302;"{""coordinates"": [9.403110519841302, 47.43503040898463], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;GBS Dienstleistungsberufe;;;;;;Grütlistrasse 1;St.Gallen;Schweiz;;;;+41712265860;;;9000
47.410675441626175,9.334666884378457;"{""coordinates"": [9.334666884378457, 47.410675441626175], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Alpsteinstrasse 7 I;;;;;;Alpsteinstrasse 7;St.Gallen;Schweiz;;;;+41714992097;;;9014
47.433047050416505,9.379621860961253;"{""coordinates"": [9.379621860961253, 47.433047050416505], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Goethestrasse;;;;;;Goethestrasse 15;St.Gallen;Schweiz;;Doppelkindergarten;;+41714992214;;;9000
