Betreff;Beginnt am;Endet am
Schulfrei (Auffahrtsbrücke);2025-05-30;2025-05-31
Schulfrei (Nachmittag);2025-05-01;2025-05-02
Weihnachtsferien;2024-12-21;2025-01-06
Herbstferien;2024-09-28;2024-10-21
Frühlingsferien;2023-04-07;2023-04-24
Frühlingsferien;2022-04-09;2022-04-25
Sommerferien;2025-07-05;2025-08-11
Schulfreier Halbtag (Nachmittag);2024-05-01;2024-05-02
Herbstferien;2023-09-30;2023-10-23
Herbstferien;2022-10-01;2022-10-24
Frühlingsferien;2025-04-05;2025-04-22
Winterferien;2025-01-25;2025-02-03
Schulfrei;2024-05-10;2024-05-11
Sommerferien;2024-07-06;2024-08-12
Schulfrei;2023-11-01;2023-11-02
Weihnachtsferien;2022-12-24;2023-01-09
Schulfrei;2022-11-01;2022-11-02
Winterferien;2022-01-29;2022-02-07
Pfingstmontag;2025-06-09;2025-06-10
Auffahrt;2025-05-29;2025-05-30
Schulfrei;2024-11-01;2024-11-02
Winterferien;2024-01-27;2024-02-05
Sommerferien;2023-07-08;2023-08-14
Sommerferien;2022-07-09;2022-08-15
Frühlingsferien;2024-04-06;2024-04-22
Weihnachtsferien;2023-12-23;2024-01-08
Schulfrei;2023-05-19;2023-05-20
Schulfreier Halbtag (Nachmittag);2023-05-01;2023-05-02
Winterferien;2023-01-28;2023-02-06
Schulfrei;2022-05-27;2022-05-28
