name;score;description;category;label;_geom;lat;lng
vrNxCp4HF7ok26HEer501Q;27.67470406081218;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/vrNxCp4HF7ok26HEer501Q""><img style=""width:200px"" src=""https://images.mapillary.com/vrNxCp4HF7ok26HEer501Q/thumb-320.jpg""></a><br>Streetwise Score: 27.67470406081218";2;0;47.4167867,9.3615663;47.4167867;9.3615663
YNhOcp0KtItW-yLCmQ696Q;34.88214747116874;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/YNhOcp0KtItW-yLCmQ696Q""><img style=""width:200px"" src=""https://images.mapillary.com/YNhOcp0KtItW-yLCmQ696Q/thumb-320.jpg""></a><br>Streetwise Score: 34.88214747116874";3;+;47.4170094,9.362303;47.4170094;9.362303
SoaZtZLjG_lYqX-odnMPOg;37.31037283122634;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/SoaZtZLjG_lYqX-odnMPOg""><img style=""width:200px"" src=""https://images.mapillary.com/SoaZtZLjG_lYqX-odnMPOg/thumb-320.jpg""></a><br>Streetwise Score: 37.31037283122634";3;+;47.4172577,9.3629452;47.4172577;9.3629452
dcXyK0KqwXJF9bxGPKBvvA;23.802059468404924;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/dcXyK0KqwXJF9bxGPKBvvA""><img style=""width:200px"" src=""https://images.mapillary.com/dcXyK0KqwXJF9bxGPKBvvA/thumb-320.jpg""></a><br>Streetwise Score: 23.802059468404924";2;0;47.4175579,9.3635926;47.4175579;9.3635926
SVOY1zkOnsqHPvMyLjhRjw;38.01378951390883;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/SVOY1zkOnsqHPvMyLjhRjw""><img style=""width:200px"" src=""https://images.mapillary.com/SVOY1zkOnsqHPvMyLjhRjw/thumb-320.jpg""></a><br>Streetwise Score: 38.01378951390883";3;+;47.4181699,9.3649449;47.4181699;9.3649449
1peOD-AOU5yHMS7R5VJYlA;34.55871103964578;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/1peOD-AOU5yHMS7R5VJYlA""><img style=""width:200px"" src=""https://images.mapillary.com/1peOD-AOU5yHMS7R5VJYlA/thumb-320.jpg""></a><br>Streetwise Score: 34.55871103964578";3;+;47.4185653,9.3657503;47.4185653;9.3657503
U-3nd6u1Ratq89RDK3e9bQ;36.40926174008429;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/U-3nd6u1Ratq89RDK3e9bQ""><img style=""width:200px"" src=""https://images.mapillary.com/U-3nd6u1Ratq89RDK3e9bQ/thumb-320.jpg""></a><br>Streetwise Score: 36.40926174008429";3;+;47.4188711,9.3659247;47.4188711;9.3659247
tXfG9GLVXIdGN2vqkui52w;34.234209975542875;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/tXfG9GLVXIdGN2vqkui52w""><img style=""width:200px"" src=""https://images.mapillary.com/tXfG9GLVXIdGN2vqkui52w/thumb-320.jpg""></a><br>Streetwise Score: 34.234209975542875";3;+;47.4194021,9.3657063;47.4194021;9.3657063
1OmHy7qj4UW7_nqtbWdRsA;32.70960969630792;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/1OmHy7qj4UW7_nqtbWdRsA""><img style=""width:200px"" src=""https://images.mapillary.com/1OmHy7qj4UW7_nqtbWdRsA/thumb-320.jpg""></a><br>Streetwise Score: 32.70960969630792";3;+;47.4200727,9.3656774;47.4200727;9.3656774
7e3R1luv81WLaNNvGn00kA;30.138535422091074;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/7e3R1luv81WLaNNvGn00kA""><img style=""width:200px"" src=""https://images.mapillary.com/7e3R1luv81WLaNNvGn00kA/thumb-320.jpg""></a><br>Streetwise Score: 30.138535422091074";3;+;47.4202687,9.3659165;47.4202687;9.3659165
